Atomic Number (m),Electronegativity (m),Loading amount (%),BET area (m2/g),Catalyst weight (mg),Pressure (bar),CO2/H2,Temperature (C),Volume of reaction mixture (ml),Time (h),Hydroxide base,Bi/Carbonate base,TON,Yield,ratio
77,2.2,4.7,684.6,10,80,1,120,20,0.25,0,0,1300,2.4,0.5
77,2.2,4.7,684.6,10,40,1,80,20,2,0,0,500,1.8,0.5
77,2.2,4.7,684.6,10,40,1,120,20,2,0,0,3320,12.5,0.5
77,2.2,4.7,684.6,10,40,1,160,20,2,0,0,2700,10.2,0.5
77,2.2,4.7,684.6,10,40,1,200,20,2,0,0,1320,4.9,0.5
77,2.2,4.7,684.6,10,60,1,120,20,2,0,0,4060,10.2,0.5
77,2.2,4.7,684.6,10,80,1,120,20,2,0,0,5000,9.4,0.5
77,2.2,4.7,684.6,10,80,1,120,20,0.5,0,0,2000,3.7,0.5
77,2.2,4.7,684.6,10,80,1,120,20,10,0,0,4900,9.2,0.5
77,2.2,4.7,684.6,10,40,1,80,20,20,1,0,6770,10.4,0.5
77,2.2,4.7,684.6,10,40,1,80,20,20,0,0,1727,2.6,0.5
77,2.2,4.7,684.6,10,40,1,80,20,20,0,0,10131,15.6,0.5
77,2.2,4.7,684.6,10,40,1,80,20,20,0,0,7096,10.9,0.5
77,2.2,4.7,684.6,10,40,1,80,20,20,0,0,4692,7.2,0.5
77,2.2,1.4,684,33.5,80,1,120,20,2,0,0,5000,9.2,1.675
77,2.2,11.3,1566,10,80,1,120,20,2,0,0,2720,4,0.5
77,2.2,11.3,1566,4.16,80,1,120,20,6,0,0,5000,9.2,0.208
77,2.2,4.1,684,11.5,80,1,120,20,2,0,0,5000,9.2,0.575
77,2.2,10.6,684,4.45,80,1,120,20,2,0,0,3032,5.7,0.2225
44,2.2,1.68,684,150.76,80,1,120,20,2,0,0,6980,8.9,7.538
44,2.2,1.68,684,150.76,40,1,90,20,2,0,0,720,1.8,7.538
44,2.2,1.68,684,150.76,40,1,100,20,2,0,0,1920,4.9,7.538
44,2.2,1.68,684,150.76,40,1,120,20,2,0,0,5050,12.9,7.538
44,2.2,1.68,684,150.76,40,1,120,20,2,0,0,3490,8.9,7.538
44,2.2,1.68,684,150.76,60,1,120,20,2,0,0,6140,10.5,7.538
44,2.2,1.68,684,150.76,80,1,120,20,5,0,0,6980,8.9,7.538
44,2.2,2.1,684,10,40,1,60,20,2,0,0,155,0.3,0.5
44,2.2,2.1,684,10,40,1,80,20,2,0,0,460,1.2,0.5
44,2.2,2.1,684,10,40,1,100,20,2,0,0,4830,15.4,0.5
44,2.2,2.1,684,10,40,1,120,20,2,0,0,7000,22.2,0.5
44,2.2,2.1,684,10,10,1,120,20,2,0,0,2070,25.9,0.5
44,2.2,2.1,684,10,20,1,120,20,2,0,0,3380,21.6,0.5
44,2.2,2.1,684,10,30,1,120,20,2,0,0,5070,21.4,0.5
44,2.2,2.1,684,10,60,1,120,20,2,0,0,7680,16.2,0.5
44,2.2,2.1,684,10,80,1,120,20,2,0,0,8190,12.9,0.5
44,2.2,2.1,684,10,80,1,120,20,5,0,0,8100,12.9,0.5
44,2.2,1.15,1375,20,80,1,120,40,2,0,0,1019,0.6,0.5
44,2.2,1.525,2151,20,80,1,120,40,2,0,0,3088,2.7,0.5
44,2.2,1.25,2031,20,80,1,120,40,2,0,0,2943,2.1,0.5
44,2.2,0.98,2015,20,80,1,120,40,2,0,0,2145,1.2,0.5
